cluster,cluster_name,word,frequency,where
6,Competitive Loss,lost due guilt,1,Situation
6,Competitive Loss,lost due mistakes,1,Situation
6,Competitive Loss,lost election bid,1,Situation
6,Competitive Loss,lost fencing match,1,Situation
6,Competitive Loss,lost fifa match,1,Situation
6,Competitive Loss,lost football game,1,Situation
6,Competitive Loss,lost gambling,1,Situation
6,Competitive Loss,lost game access,1,Situation
6,Competitive Loss,lost game assets,1,Situation
6,Competitive Loss,lost game battles,1,Situation
6,Competitive Loss,lost game competition,1,Situation
6,Competitive Loss,lost game match,1,Situation
6,Competitive Loss,lost game matches,1,Situation
6,Competitive Loss,lost game tournament,1,Situation
6,Competitive Loss,lost gaming money,1,Situation
6,Competitive Loss,lost gaming service,1,Situation
6,Competitive Loss,lost golf bet,1,Situation
6,Competitive Loss,lost golf cart,1,Situation
6,Competitive Loss,lost golf game,1,Situation
6,Competitive Loss,lost golf games,1,Situation
6,Competitive Loss,lost golf hole,1,Situation
6,Competitive Loss,lost golf marker,1,Situation
6,Competitive Loss,lost in game,1,Situation
6,Competitive Loss,lost in golf,1,Situation
6,Competitive Loss,lost in jiu-jitsu,1,Situation
6,Competitive Loss,lost in mma,1,Situation
6,Competitive Loss,lost in poker,1,Situation
6,Competitive Loss,lost in sparring.,1,Situation
6,Competitive Loss,lost kickball,1,Situation
6,Competitive Loss,lost lottery,1,Situation
6,Competitive Loss,lost mobile games,1,Situation
6,Competitive Loss,lost my team,1,Situation
6,Competitive Loss,lost pickleball game,1,Situation
6,Competitive Loss,lost playing poker,1,Situation
6,Competitive Loss,lost poker game,1,Situation
6,Competitive Loss,lost poker tournament,1,Situation
6,Competitive Loss,lost project points,1,Situation
6,Competitive Loss,lost reward points,1,Situation
6,Competitive Loss,lost sailing race,1,Situation
6,Competitive Loss,lost signed baseball,1,Situation
6,Competitive Loss,lost soccer matches,1,Situation
6,Competitive Loss,lost spelling game,1,Situation
6,Competitive Loss,lost sports bets,1,Situation
6,Competitive Loss,lost super bowl,1,Situation
6,Competitive Loss,lost the award,1,Situation
6,Competitive Loss,lost the jackpot,1,Situation
6,Competitive Loss,lost the marathon,1,Situation
6,Competitive Loss,lost the match,1,Situation
6,Competitive Loss,lost to child,1,Situation
6,Competitive Loss,lost to depression,1,Situation
